14051079;Gestion y política pública;SCIELO
02139111;Gaceta Sanitaria;SCIELO
23139277;Historia de la educacion - anuario;SCIELO
01045970;Historia, Ciências, Saúde-Manguinhos;SCIELO
01019074;Historia (São Paulo);SCIELO
22363459;Historia da Educação;SCIELO
22368906;Hoehnea;SCIELO
01047183;Horizontes Antropologicos;SCIELO
01020536;Horticultura Brasileira;SCIELO
20719736;Health SA Gesondheid (Online);SCIELO
0018229X;Historia;SCIELO
02599422;HTS Theological Studies;SCIELO
07177194;Historia (Santiago);SCIELO
01217577;Hacia la Promocion de la Salud;SCIELO
2145132X;HiSTOReLo. Revista de Historia Regional y Local;SCIELO
01211617;Historia Crítica;SCIELO
17278120;Humanidades Medicas;SCIELO
01888897;Hidrobiologica;SCIELO
14050927;Historia y grafía;SCIELO
18707459;Huitzil;SCIELO
1727558X;Horizonte Médico;SCIELO
07177194;Historia (Santiago);SCIELO
01019074;Historia (São Paulo);SCIELO
01047183;Horizontes Antropologicos;SCIELO
18511740;Informacion, cultura y sociedad;SCIELO
18523862;Insuficiencia cardíaca;SCIELO
16687027;Interdisciplinaria;SCIELO
1850373X;Intersecciones en antropología;SCIELO
16683498;InVet;SCIELO
00734721;Iheringia. Série Zoologia;SCIELO
15187012;Interações (Campo Grande);SCIELO
18095844;Intercom: Revista Brasileira de Ciências da Comunicação;SCIELO
14143283;Interface - Comunicação, Saúde, Educação;SCIELO
18094864;International Archives of Otorhinolaryngology;SCIELO
16775538;International braz j urol;SCIELO
23050853;In die Skriflig ;SCIELO
14457377;Indo-Pacific Journal of Phenomenology;SCIELO
07183429;Idesia (Arica);SCIELO
07180764;Informacion tecnologica;SCIELO
07183305;Ingeniare. Revista chilena de ingeniería;SCIELO
07179502;International Journal of Morphology;SCIELO
0718381X;International journal of odontostomatology;SCIELO
07177178;Investigaciones marinas;SCIELO
07180012;Ius et Praxis;SCIELO
01210793;Iatreia;SCIELO
01200062;Ideas y Valores;SCIELO
01233432;Íkala, Revista de Lenguaje y Cultura;SCIELO
01239392;Infectio;SCIELO
01205609;Ingeniería e Investigacion;SCIELO
17949165;Ingeniería y Ciencia;SCIELO
01223461;Ingeniería y Desarrollo;SCIELO
01232126;Ingeniería y Universidad;SCIELO
01215051;Innovar;SCIELO
16928156;International Law;SCIELO
01248146;Investigaciones Andina;SCIELO
01213261;Investigacion y Desarrollo;SCIELO
01205307;Investigacion y Educacion en Enfermería;SCIELO
22152458;InterSedes;SCIELO
18155928;Ingenieria Eletronica, Automatica y Comunicaciones;SCIELO
18155901;Ingenieria Energetica;SCIELO
16800338;Ingenieria Hidraulica y Ambiental;SCIELO
18155936;Ingenieria Industrial;SCIELO
18155944;Ingenieria Mecanica;SCIELO
11321296;Index de Enfermería;SCIELO
11396709;International Microbiology;SCIELO
11320559;Intervencion Psicosocial;SCIELO
14057743;Ingeniería, investigacion y tecnología;SCIELO
16657381;Ingeniería mecanica, tecnología y desarrollo;SCIELO
0185092X;Ingeniería sísmica;SCIELO
0187358X;Investigacion bibliotecologica;SCIELO
01851667;Investigacion economica;SCIELO
20075057;Investigacion en educacion médica;SCIELO
01884611;Investigaciones geograficas;SCIELO
14050218;Isonomía;SCIELO
22223061;In Crescendo;SCIELO
18109993;Industrial Data;SCIELO
17285852;Investigacion Educativa;SCIELO
08745161;Investigação Operacional;SCIELO
14143283;Interface - Comunicação, Saúde, Educação;SCIELO
01215051;Innovar: Revista de Ciencias Administrativas y Sociales;SCIELO
14143283;Interface - Comunicação, Saúde, Educação;SCIELO
18071775;JISTEM - Journal of Information Systems and Technology Management;SCIELO
01012800;Jornal Brasileiro de Nefrologia;SCIELO
16762444;Jornal Brasileiro de Patologia e Medicina Laboratorial;SCIELO
18063713;Jornal Brasileiro de Pneumologia;SCIELO
00472085;Jornal Brasileiro de Psiquiatria;SCIELO
21796491;Jornal da Sociedade Brasileira de Fonoaudiologia;SCIELO
00217557;Jornal de Pediatria;SCIELO
01023586;Jornal de Pneumologia;SCIELO
16775449;Jornal Vascular Brasileiro;SCIELO
16787757;Journal of Applied Oral Science;SCIELO
22379363;Journal of  Coloproctology (Rio de Janeiro);SCIELO
16762649;Journal of Epilepsy and Clinical Neurophysiology;SCIELO
21791074;Journal of Microwaves, Optoelectronics and Electromagnetic Applications;SCIELO
23171537;Journal of Seed Science;SCIELO
01035053;Journal of the Brazilian Chemical Society;SCIELO
01046500;Journal of the Brazilian Computer Society;SCIELO
01007386;Journal of the Brazilian Society of Mechanical Sciences;SCIELO
16785878;Journal of the Brazilian Society of Mechanical Sciences and Engineering;SCIELO
22381031;Journal of Transport Literature;SCIELO
01047930;Journal of Venomous Animals and Toxins;SCIELO
16789199;Journal of Venomous Animals and Toxins including Tropical Diseases;SCIELO
1021447X;Journal of Energy in Southern Africa;SCIELO
10212019;Journal of the South African Institution of Civil Engineering;SCIELO
10199128;Journal of the South African Veterinary Association ;SCIELO
0038223X;Journal of the Southern African Institute of Mining and Metallurgy;SCIELO
07189516;Journal of soil science and plant nutrition;SCIELO
07182724;Journal of technology management e innovation;SCIELO
07179707;Journal of the Chilean Chemical Society;SCIELO
07181876;Journal of theoretical and applied electronic commerce research;SCIELO
16656423;Journal of applied research and technology;SCIELO
20070780;Journal of behavior, health e social issues (México);SCIELO
1870249X;Journal of the Mexican Chemical Society;SCIELO
20771886;Journal of Economics, Finance and Administrative Science;SCIELO
08728178;Jornal Português de Gastrenterologia ;SCIELO
18525962;Kurtziana;SCIELO
0100512X;Kriterion: Revista de Filosofia;SCIELO
00756458;Koedoe;SCIELO
23048557;Koers;SCIELO
02590190;Kronos;SCIELO
18127886;Kiru;SCIELO
0100512X;Kriterion: Revista de Filosofia;SCIELO
16695704;La aljaba;SCIELO
03270793;Latin American applied research;SCIELO
18514979;Latin American journal of sedimentology and basin analysis;SCIELO
18531296;La zaranda de ideas;SCIELO
16797825;Latin American Journal of Solids and Structures;SCIELO
15187632;Linguagem em (Dis)curso;SCIELO
01026445;Lua Nova: Revista de Cultura e Política;SCIELO
0718560X;Latin american journal of aquatic research;SCIELO
07190433;Latin american journal of economics;SCIELO
07165811;Literatura y lingüística;SCIELO
01202596;Lecturas de Economía;SCIELO
01203479;Lenguaje;SCIELO
19092474;Luna Azul;SCIELO
16658574;Latinoamérica. Revista de estudios Latinoamericanos;SCIELO
14059436;La ventana. Revista de estudios de género;SCIELO
16658027;LiminaR;SCIELO
01882546;Literatura mexicana;SCIELO
20715072;Letras;SCIELO
17294827;Liberabit;SCIELO
16466004;Laboratorio de Psicologia;SCIELO
03279383;Mastozoología neotropical;SCIELO
00257680;Medicina (Buenos Aires);SCIELO
18513751;Memoria americana;SCIELO
1850468X;Meteorologica;SCIELO
1853001X;Mora (Buenos Aires);SCIELO
18527329;Multequina;SCIELO
15155994;Mundo agrario;SCIELO
19836821;Machado de Assis em Linha;SCIELO
01049313;Mana;SCIELO
01006045;Manuscrito;SCIELO
15177076;Matéria (Rio de Janeiro);SCIELO
15161439;Materials Research;SCIELO
00740276;Memorias do Instituto Oswaldo Cruz;SCIELO
19806574;Motriz: Revista de Educação Física;SCIELO
02569507;Missionalia;SCIELO
0718221X;Maderas. Ciencia y tecnología;SCIELO
07182244;Magallania (Punta Arenas);SCIELO
01204874;Medicina U.P.B.;SCIELO
17948886;Memorias: Revista Digital de Historia y Arqueología desde el Caribe;SCIELO
01225197;Memoria y Sociedad;SCIELO
14090015;Medicina Legal de Costa Rica;SCIELO
10293019;MEDISAN;SCIELO
1727897X;MediSur;SCIELO
02105691;Medicina Intensiva;SCIELO
16984447;Medicina Oral, Patología Oral y Cirugía Bucal (Ed. impresa);SCIELO
16986946;Medicina Oral, Patología Oral y Cirugía Bucal (Internet);SCIELO
0465546X;Medicina y Seguridad del Trabajo;SCIELO
11315768;Medifam;SCIELO
14050471;Madera y bosques;SCIELO
16658906;Migraciones internacionales;SCIELO
18707599;Migracion y desarrollo;SCIELO
18178391;Mosaico Científico;SCIELO
1646740X;Medievalista online;SCIELO
1646107X;Motricidade;SCIELO
15557960;MEDICC Review;SCIELO
01049313;Mana;SCIELO
01046497;Nauplius;SCIELO
1519566X;Neotropical Entomology;SCIELO
16796225;Neotropical Ichthyology;SCIELO
01036351;Nova Economia;SCIELO
01013300;Novos Estudos - CEBRAP;SCIELO
01217550;Nomadas;SCIELO
0864084X;Nucleus;SCIELO
02116995;Nefrología (Madrid);SCIELO
11301473;Neurocirugía;SCIELO
02121611;Nutricion Hospitalaria;SCIELO
00283746;Neumología y cirugía de torax;SCIELO
18703550;Norteamérica;SCIELO
01853058;Nova tellus;SCIELO
01850636;Nueva antropología;SCIELO
19951043;Neotropical Helminthology;SCIELO
08720754;Nascer e Crescer - Revista do Hospital de Crianças Maria Pia;SCIELO
01013300;Novos Estudos - CEBRAP;SCIELO
18524478;Olivar;SCIELO
18518893;Orientacion y sociedad;SCIELO
01046276;Opinião Pública;SCIELO
19849230;Organizações e Sociedade;SCIELO
10109919;Old Testament Essays;SCIELO
00302465;Onderstepoort Journal of Veterinary Research;SCIELO
07182813;Obras y proyectos;SCIELO
